annotation_type,label_id,label_name,cases_with_label
vessel,1,BA,413
vessel,2,R-P1P2,413
vessel,3,L-P1P2,414
vessel,4,R-ICA-C6-C7,414
vessel,5,R-M1,414
vessel,6,L-ICA-C6-C7,414
vessel,7,L-M1,414
vessel,8,R-Pcom,221
vessel,9,L-Pcom,219
vessel,10,Acom,333
vessel,11,R-A1A2,413
vessel,12,L-A1A2,413
vessel,13,R-A3,406
vessel,14,L-A3,400
vessel,15,3rd-A2,61
vessel,16,3rd-A3,111
vessel,17,R-M2,413
vessel,18,R-M3,408
vessel,19,L-M2,414
vessel,20,L-M3,408
vessel,21,R-P3P4,403
vessel,22,L-P3P4,399
vessel,23,R-VA,414
vessel,24,L-VA,410
vessel,25,R-SCA,411
vessel,26,L-SCA,413
vessel,27,R-AICA,302
vessel,28,L-AICA,285
vessel,29,R-PICA,373
vessel,30,L-PICA,365
vessel,31,R-AChA,253
vessel,32,L-AChA,282
vessel,33,R-OA,405
vessel,34,L-OA,410
vessel,35,R-ICA-C1-C5,414
vessel,36,L-ICA-C1-C5,415
aneurysm_type,1,saccular,261
aneurysm_type,2,dissecting,10
aneurysm_type,3,fusiform,43
