rel_path,folder,filename,ext,size_bytes,size_kb,size_mb
.DS_Store,.,.DS_Store,,6148,6.0,0.0059
._.DS_Store,.,._.DS_Store,.ds_store,4096,4.0,0.0039
._CHANGELOG.txt,.,._CHANGELOG.txt,.txt,4096,4.0,0.0039
._README.md,.,._README.md,.md,4096,4.0,0.0039
._Terms_of_use.txt,.,._Terms_of_use.txt,.txt,4096,4.0,0.0039
._dataset-metadata.json,.,._dataset-metadata.json,.json,4096,4.0,0.0039
._images,.,._images,,4096,4.0,0.0039
._location_jsons,.,._location_jsons,,4096,4.0,0.0039
._location_mapping.json,.,._location_mapping.json,.json,4096,4.0,0.0039
._location_masks,.,._location_masks,,4096,4.0,0.0039
._type_mapping.json,.,._type_mapping.json,.json,4096,4.0,0.0039
._type_masks,.,._type_masks,,4096,4.0,0.0039
._vessel_mapping.json,.,._vessel_mapping.json,.json,4096,4.0,0.0039
._vessel_masks,.,._vessel_masks,,4096,4.0,0.0039
CHANGELOG.txt,.,CHANGELOG.txt,.txt,5869,5.73,0.0056
CODEBASE_RESEARCH_AUDIT.md,.,CODEBASE_RESEARCH_AUDIT.md,.md,47809,46.69,0.0456
README.md,.,README.md,.md,11124,10.86,0.0106
Terms_of_use.txt,.,Terms_of_use.txt,.txt,1107,1.08,0.0011
dataset-metadata.json,.,dataset-metadata.json,.json,454,0.44,0.0004
location_mapping.json,.,location_mapping.json,.json,1803,1.76,0.0017
p3-ayush.pdf,.,p3-ayush.pdf,.pdf,9091819,8878.73,8.6706
type_mapping.json,.,type_mapping.json,.json,120,0.12,0.0001
vessel_mapping.json,.,vessel_mapping.json,.json,820,0.8,0.0008
images\._topaneu_center1_mr_001_0000.nii.gz,images,._topaneu_center1_mr_001_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_005_0000.nii.gz,images,._topaneu_center1_mr_005_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_016_0000.nii.gz,images,._topaneu_center1_mr_016_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_017_0000.nii.gz,images,._topaneu_center1_mr_017_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_018_0000.nii.gz,images,._topaneu_center1_mr_018_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_024_0000.nii.gz,images,._topaneu_center1_mr_024_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_028_0000.nii.gz,images,._topaneu_center1_mr_028_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_029_0000.nii.gz,images,._topaneu_center1_mr_029_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_033_0000.nii.gz,images,._topaneu_center1_mr_033_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_038_0000.nii.gz,images,._topaneu_center1_mr_038_0000.nii.gz,.nii.gz,4096,4.0,0.0039
images\._topaneu_center1_mr_049_0000.nii.gz,images,._topaneu_center1_mr_049_0000.nii.gz,.nii.gz,4096,4.0,0.0039
