case_id,filename,shape_x,shape_y,shape_z,ndim,voxel_x_mm,voxel_y_mm,voxel_z_mm,fov_x_mm,fov_y_mm,fov_z_mm,anisotropy_ratio,dtype,int_min,int_max,int_mean,int_std,p1,p5,p95,p99,has_nan,has_inf
topaneu_center1_mr_001.nii,topaneu_center1_mr_001_0000.nii.gz,352,426,264,3,0.3819,0.3819,0.45,134.44,162.71,118.81,1.1783,int16,0.0,1108.0,55.191,43.4454,0.0,0.9975,108.9994,149.0014,False,False
topaneu_center1_mr_005.nii,topaneu_center1_mr_005_0000.nii.gz,390,461,240,3,0.3819,0.3819,0.45,148.96,176.08,108.01,1.1783,int16,0.0,388.0,30.6189,21.5791,0.0,1.0006,59.9984,81.9989,False,False
topaneu_center1_mr_016.nii,topaneu_center1_mr_016_0000.nii.gz,344,437,248,3,0.3819,0.3819,0.4496,131.39,166.91,111.51,1.1772,int16,0.0,1091.0,62.1385,42.7566,0.0,1.9977,114.0027,142.004,False,False
topaneu_center1_mr_017.nii,topaneu_center1_mr_017_0000.nii.gz,376,477,248,3,0.3819,0.3819,0.45,143.61,182.19,111.6,1.1782,int16,0.0,1065.0,75.84,52.6576,0.0,1.9989,138.9936,192.9952,False,False
topaneu_center1_mr_018.nii,topaneu_center1_mr_018_0000.nii.gz,356,465,233,3,0.3819,0.3819,0.45,135.97,177.6,104.86,1.1783,float32,0.0,940.0,67.313,53.1954,0.0,0.0,133.0071,189.004,False,False
topaneu_center1_mr_024.nii,topaneu_center1_mr_024_0000.nii.gz,516,749,160,3,0.2511,0.2511,0.7,129.58,188.09,112.0,2.7875,int16,0.0,350.0,39.8667,24.2589,0.0,4.0002,74.9989,99.9985,False,False
topaneu_center1_mr_028.nii,topaneu_center1_mr_028_0000.nii.gz,368,438,248,3,0.3819,0.3819,0.45,140.56,167.29,111.61,1.1782,int16,0.0,829.0,52.6463,38.2975,0.0,0.9993,98.9968,127.0033,False,False
topaneu_center1_mr_029.nii,topaneu_center1_mr_029_0000.nii.gz,558,719,138,3,0.2511,0.2511,0.7,140.12,180.55,96.6,2.7875,int16,0.0,984.0,91.4416,54.931,0.0,11.9969,156.9956,224.007,False,False
topaneu_center1_mr_033.nii,topaneu_center1_mr_033_0000.nii.gz,563,790,175,3,0.2455,0.2455,0.5,138.24,193.97,87.5,2.0363,int16,0.0,1251.0,95.9012,63.009,0.0,12.9996,175.0083,256.0031,False,False
topaneu_center1_mr_038.nii,topaneu_center1_mr_038_0000.nii.gz,572,771,216,3,0.2344,0.2344,0.5,134.06,180.7,108.01,2.1335,int16,0.0,923.0,73.3662,46.5145,0.0,8.9997,133.9959,181.9944,False,False
topaneu_center1_mr_049.nii,topaneu_center1_mr_049_0000.nii.gz,372,469,199,3,0.3819,0.3819,0.45,142.08,179.13,89.56,1.1783,int16,0.0,820.0,63.3048,47.4191,0.0,2.002,132.9943,179.0024,False,False
topaneu_center1_mr_050.nii,topaneu_center1_mr_050_0000.nii.gz,392,422,262,3,0.3819,0.3819,0.4499,149.72,161.18,117.87,1.1779,int16,0.0,1177.0,71.0741,54.2483,0.0,1.0058,148.9951,207.9932,False,False
topaneu_center1_mr_053.nii,topaneu_center1_mr_053_0000.nii.gz,340,444,168,3,0.4102,0.4102,0.5501,139.45,182.11,92.41,1.3411,int16,0.0,376.0,43.4374,26.5634,0.0,2.0023,81.9988,107.0024,False,False
topaneu_center1_mr_056.nii,topaneu_center1_mr_056_0000.nii.gz,356,481,248,3,0.3819,0.3819,0.45,135.97,183.72,111.6,1.1782,int16,0.0,1228.0,84.2049,54.3194,0.0,2.9981,147.9933,201.9965,False,False
topaneu_center1_mr_061.nii,topaneu_center1_mr_061_0000.nii.gz,356,445,243,3,0.3819,0.3819,0.4499,135.97,169.97,109.32,1.1779,int16,0.0,572.0,50.2546,32.9993,0.0,1.0037,94.9973,129.9972,False,False
topaneu_center1_mr_064.nii,topaneu_center1_mr_064_0000.nii.gz,390,465,248,3,0.3819,0.3819,0.45,148.96,177.6,111.59,1.1781,int16,0.0,504.0,40.1277,27.2228,0.0,1.9995,80.9968,110.9977,False,False
topaneu_center1_mr_076.nii,topaneu_center1_mr_076_0000.nii.gz,369,447,200,3,0.3906,0.3906,0.4996,144.14,174.61,99.92,1.279,int16,0.0,1208.0,57.8742,45.0228,0.0,2.0092,116.9936,167.0021,False,False
topaneu_center1_mr_085.nii,topaneu_center1_mr_085_0000.nii.gz,586,729,180,3,0.2455,0.2455,0.5,143.88,179.0,90.0,2.0364,int16,0.0,866.0,79.3325,52.6701,0.0,7.9947,155.995,222.0005,False,False
topaneu_center1_mr_088.nii,topaneu_center1_mr_088_0000.nii.gz,376,437,248,3,0.3819,0.3819,0.45,143.61,166.91,111.6,1.1782,int16,0.0,778.0,56.0569,38.2327,0.0,1.9944,106.0008,143.0043,False,False
topaneu_center1_mr_092.nii,topaneu_center1_mr_092_0000.nii.gz,546,742,143,3,0.2511,0.2511,0.7,137.11,186.33,100.1,2.7876,float32,0.0,522.0,42.4878,31.3662,0.0,0.0,80.9982,113.0024,False,False
topaneu_center1_mr_113.nii,topaneu_center1_mr_113_0000.nii.gz,380,496,229,3,0.3819,0.3819,0.45,145.14,189.44,103.06,1.1783,float32,0.0,1002.0,60.0392,50.0536,0.0,0.0,130.007,175.9979,False,False
topaneu_center1_mr_119.nii,topaneu_center1_mr_119_0000.nii.gz,370,403,206,3,0.3819,0.3819,0.45,141.32,153.92,92.7,1.1782,int16,0.0,793.0,58.9183,38.8118,0.0,3.0009,105.9995,132.9955,False,False
topaneu_center1_mr_121.nii,topaneu_center1_mr_121_0000.nii.gz,343,402,248,3,0.3819,0.3819,0.4501,131.01,153.54,111.62,1.1784,int16,0.0,910.0,71.1661,47.9573,0.0,0.9998,128.9982,175.0016,False,False
topaneu_center1_mr_129.nii,topaneu_center1_mr_129_0000.nii.gz,564,731,160,3,0.2511,0.2511,0.7,141.63,183.57,112.0,2.7876,int16,0.0,475.0,46.7562,29.215,0.0,4.0009,79.0036,101.0014,False,False
topaneu_center1_mr_136.nii,topaneu_center1_mr_136_0000.nii.gz,368,473,199,3,0.3819,0.3819,0.4499,140.56,180.66,89.53,1.1779,int16,0.0,1029.0,91.6348,61.4407,0.0,1.9941,188.9994,271.9977,False,False
topaneu_center1_mr_138.nii,topaneu_center1_mr_138_0000.nii.gz,392,465,202,3,0.3906,0.3906,0.5001,153.12,181.64,101.02,1.2803,int16,0.0,901.0,64.3528,44.3865,0.0,2.9971,133.0018,176.0067,False,False
topaneu_center1_mr_144.nii,topaneu_center1_mr_144_0000.nii.gz,356,480,240,3,0.3819,0.3819,0.4499,135.97,183.33,107.97,1.1779,int16,0.0,1077.0,79.9026,51.7252,0.0,2.0049,141.0034,202.0063,False,False
topaneu_center1_mr_147.nii,topaneu_center1_mr_147_0000.nii.gz,381,465,196,3,0.3906,0.3906,0.5002,148.83,181.64,98.04,1.2805,int16,0.0,814.0,62.5908,43.9173,0.0,1.9998,125.997,170.9978,False,False
topaneu_center1_mr_148.nii,topaneu_center1_mr_148_0000.nii.gz,354,454,196,3,0.3906,0.3906,0.5,138.28,177.34,98.0,1.28,int16,0.0,819.0,68.8431,47.5139,0.0,1.9995,140.0054,184.9951,False,False
topaneu_center1_mr_149.nii,topaneu_center1_mr_149_0000.nii.gz,383,433,248,3,0.3819,0.3819,0.4501,146.28,165.38,111.62,1.1783,int16,0.0,710.0,53.7916,39.3151,0.0,0.9967,102.9979,134.0046,False,False
topaneu_center1_mr_157.nii,topaneu_center1_mr_157_0000.nii.gz,348,430,240,3,0.3819,0.3819,0.45,132.92,164.24,107.99,1.1781,int16,0.0,867.0,64.176,47.921,0.0,1.0054,142.9984,185.9946,False,False
