case_id,xai_method,perturbation_percentile,original_logit,original_prob,deletion_logit,deletion_prob,deletion_prob_drop,deletion_logit_drop,insertion_logit,insertion_prob,insertion_prob_retained
topaneu_center1_mr_017,gradcam,1,-1.2069,0.2302,-1.0404,0.2611,-0.0308,-0.1665,-0.0868,0.4783,0.4783
topaneu_center1_mr_017,gradcam,5,-1.2069,0.2302,-0.4781,0.3827,-0.1524,-0.7288,-0.3231,0.4199,0.4199
topaneu_center1_mr_017,gradcam,10,-1.2069,0.2302,-0.8448,0.3005,-0.0703,-0.3622,-0.8568,0.298,0.298
topaneu_center1_mr_017,cross_attention,1,-1.2069,0.2302,2.2099,0.9011,-0.6709,-3.4169,0.043,0.5108,0.5108
topaneu_center1_mr_017,cross_attention,5,-1.2069,0.2302,3.8283,0.9787,-0.7485,-5.0352,1.6466,0.8384,0.8384
topaneu_center1_mr_017,cross_attention,10,-1.2069,0.2302,0.768,0.6831,-0.4528,-1.975,-0.1698,0.4577,0.4577
topaneu_center1_mr_017,integrated_gradients,1,-1.2069,0.2302,-0.1937,0.4517,-0.2215,-1.0132,0.528,0.629,0.629
topaneu_center1_mr_017,integrated_gradients,5,-1.2069,0.2302,-1.2028,0.231,-0.0007,-0.0042,-0.2153,0.4464,0.4464
topaneu_center1_mr_017,integrated_gradients,10,-1.2069,0.2302,-0.6941,0.3331,-0.1029,-0.5128,-0.0077,0.4981,0.4981
topaneu_center1_mr_017,random_control,1,-1.2069,0.2302,-1.3296,0.2092,0.021,0.1227,-1.5407,0.1764,0.1764
topaneu_center1_mr_017,random_control,5,-1.2069,0.2302,-1.228,0.2265,0.0037,0.021,0.0666,0.5166,0.5166
topaneu_center1_mr_017,random_control,10,-1.2069,0.2302,-0.7486,0.3211,-0.0909,-0.4583,-0.9331,0.2823,0.2823
topaneu_center1_mr_024,gradcam,1,-0.5736,0.3604,-0.3886,0.4041,-0.0437,-0.185,1.3058,0.7868,0.7868
topaneu_center1_mr_024,gradcam,5,-0.5736,0.3604,-0.4476,0.3899,-0.0295,-0.126,0.6476,0.6565,0.6565
topaneu_center1_mr_024,gradcam,10,-0.5736,0.3604,-0.2425,0.4397,-0.0793,-0.3311,2.6623,0.9348,0.9348
topaneu_center1_mr_024,cross_attention,1,-0.5736,0.3604,0.1972,0.5491,-0.1887,-0.7708,0.2777,0.569,0.569
topaneu_center1_mr_024,cross_attention,5,-0.5736,0.3604,1.1222,0.7544,-0.394,-1.6958,0.3435,0.585,0.585
topaneu_center1_mr_024,cross_attention,10,-0.5736,0.3604,-0.3941,0.4027,-0.0423,-0.1795,1.1154,0.7531,0.7531
topaneu_center1_mr_024,integrated_gradients,1,-0.5736,0.3604,-0.46,0.387,-0.0266,-0.1136,0.3195,0.5792,0.5792
topaneu_center1_mr_024,integrated_gradients,5,-0.5736,0.3604,-0.9257,0.2838,0.0766,0.3521,0.505,0.6236,0.6236
